tensor(6.1525, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.1525, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.7981, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.7981, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.8958, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.8958, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(7.3294, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(7.3294, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.1820, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.1820, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.5838, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.1847, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.4255, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.4688, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(7.9792, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.4222, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.0902, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(7.6088, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.4956, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.4293, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.5327, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.4359, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.4661, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(7.8972, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.1366, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(5.7308, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(7.2970, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.0944, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.4394, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.4104, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(7.9165, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.1492, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(5.7264, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(7.2744, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(5.9613, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(5.7403, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(5.3310, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.1487, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.4816, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(5.3326, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.0977, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(3.7167, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(5.9272, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(5.5789, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.5187, device='cuda:0', grad_fn=<MeanBackward0>)
